epoch,loss
0,47.3516605493
1,42.621963386
2,42.4815954479
3,42.4356532081
4,42.4118743562
5,42.3978963618
6,42.3889079419
7,42.382762173
8,42.3783251602
9,42.3749586804
10,42.3723816306
11,42.3703029211
12,42.36858674
13,42.3671195208
14,42.3658807417
15,42.3647337771
16,42.3636993815
17,42.3626710289
18,42.3616969623
19,42.360630178
